Route Number,Source,Destination,Container Size,Carrier,Travel Mode,Fixed Freight Cost,Port/Airport/Rail Handling Cost,Bunker/ Fuel Cost,Documentation Cost,Equipment Cost,Extra Cost,Warehouse Cost,Transit Duty,CustomClearance time (hours),Port/Airport/Rail Handling time (hours),Extra Time,Transit time (hours),Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
62,Wuxi Railway Station,Malaysia Airport,7,Evergreen,Truck,88,194,249,197,173,58,83.88317164828567,6.525343785775355,42,62,7,110.79671272578958,1,1,0,0,1,1,1
63,Wuxi Airport,Singapore Warehouse,67,COSCO,Truck,235,236,459,197,177,109,141.06058775431876,4.256587414124716,66,62,9,29.645145318362722,0,1,0,1,1,1,1
64,Malaysia Railway Station,Singapore Port,7,KTM,Truck,143,350,315,174,278,98,190.51877027067607,7.056281280054359,33,29,2,48.39200288289064,1,0,0,0,1,1,0
65,Wuxi Port,Malaysia Railway Station,67,DHL,Sea,497,372,369,72,136,137,58.12593229505286,2.6192560031899577,42,42,3,109.74150100466534,1,0,0,0,0,1,0
66,Wuxi Railway Station,Singapore Airport,7,KTM,Truck,361,402,269,111,125,64,93.25381030057528,4.395000522549873,41,54,7,75.38388537162288,1,1,0,0,1,1,0
67,Singapore Port,Wuxi Railway Station,7,COSCO,Truck,418,399,430,169,244,74,134.93404321376852,6.428063003643241,36,53,8,199.50640405761166,1,0,1,0,0,0,1
68,Wuxi Airport,Wuxi Airport,67,COSCO,Sea,407,355,141,57,135,74,131.9655024902831,9.829994927457797,25,30,5,128.50557851780206,1,1,0,0,0,0,1
69,Shanghai Port,Singapore Warehouse,67,Evergreen,Sea,338,289,425,147,213,109,146.42355540860294,8.950659685280474,69,56,6,124.34898368438748,1,1,1,1,1,1,0
70,Malaysia Airport,Singapore Warehouse,34,KTM,Sea,379,160,455,192,245,113,127.28008212586192,1.5489794095238114,49,54,4,206.85098763035626,1,1,0,0,0,1,0
71,Wuxi Airport,Malaysia Warehouse,67,Railway Authority,Air,121,161,112,108,256,130,149.7342629220258,9.087908028342682,54,31,4,123.97612861326719,1,0,1,1,0,0,1
72,Shanghai Railway Station,Shanghai Airport,67,COSCO,Air,450,499,410,90,165,77,153.2584324921096,8.301285992242505,40,62,9,233.8468392592626,1,0,1,1,1,0,0
73,Malaysia Warehouse,Malaysia Port,34,DHL,Truck,260,200,173,155,282,68,75.03296229195273,5.190415913789818,56,59,9,46.406170214810295,0,1,1,0,1,0,0
74,Singapore Railway Station,Wuxi Warehouse,67,COSCO,Truck,233,105,238,65,221,72,62.27267101544149,1.6798324186585887,57,47,8,109.8773785399538,1,1,1,0,0,1,0
75,Wuxi Port,Singapore Warehouse,34,Evergreen,Truck,73,125,448,71,121,147,127.15336801751982,7.573540309905963,70,46,3,155.10902764906498,0,0,0,1,0,1,0
76,Malaysia Port,Shanghai Port,7,Railway Authority,Rail,433,348,447,66,196,124,180.31583477418357,6.36922184951086,34,65,6,94.21661922810134,0,0,1,0,0,0,0
77,Singapore Airport,Wuxi Railway Station,67,DHL,Rail,416,472,423,76,151,118,53.902298591539044,8.636602616909315,35,58,9,73.83816351534674,0,0,0,1,1,1,0
78,Wuxi Warehouse,Wuxi Airport,34,DHL,Air,59,195,282,140,263,79,123.24830774287292,2.7211956033117106,43,56,2,33.93991662277189,0,0,1,0,1,0,1
79,Shanghai Airport,Wuxi Port,34,KTM,Truck,299,165,422,111,183,80,102.68857354277309,7.923233699206199,32,37,8,127.95442370751093,0,1,0,1,1,0,0
80,Malaysia Airport,Singapore Warehouse,34,DHL,Air,65,322,243,96,203,65,107.5410078122436,7.1338613610765,31,27,8,81.45955413309025,0,0,0,1,1,0,1
81,Shanghai Port,Shanghai Railway Station,34,Railway Authority,Sea,130,435,157,152,273,117,122.1834837795553,5.954033146617391,40,30,3,196.4400134071847,1,0,1,1,0,1,0
82,Shanghai Airport,Malaysia Railway Station,7,Railway Authority,Air,292,410,198,89,237,111,115.75203426916913,5.687945556360708,64,70,0,62.279196671023044,1,1,1,1,0,0,1
83,Malaysia Warehouse,Malaysia Airport,34,COSCO,Rail,141,126,229,174,227,144,124.51379922212985,2.464095755931147,50,69,7,25.348112717055976,0,1,1,0,1,0,0
84,Wuxi Airport,Singapore Warehouse,7,COSCO,Air,269,171,436,127,268,113,155.47047961110206,4.832412454803195,53,54,2,195.43690728321022,0,1,0,0,0,0,0
85,Wuxi Railway Station,Singapore Airport,34,Railway Authority,Rail,137,257,364,128,100,80,78.7109484677615,7.26899721741943,34,32,3,98.32121719282883,1,1,0,1,0,1,0
86,Shanghai Railway Station,Singapore Port,7,KTM,Truck,241,266,352,117,158,142,51.45295479900676,1.7293786829594295,25,34,7,203.7777355903346,1,0,0,1,1,0,0
87,Malaysia Warehouse,Malaysia Railway Station,67,COSCO,Air,355,294,239,98,116,135,155.11689542967667,1.221453356836067,35,62,8,192.63107863970927,1,1,0,1,1,0,0
88,Singapore Warehouse,Singapore Airport,7,COSCO,Sea,237,103,238,92,194,63,130.31041008940713,7.001240914156655,26,51,7,73.46306040980983,1,1,1,0,1,1,1
89,Wuxi Warehouse,Shanghai Airport,34,KTM,Truck,428,200,298,146,293,68,135.33265896134483,4.558105918593954,27,44,2,89.11788723856588,1,1,0,0,0,0,1
90,Malaysia Warehouse,Wuxi Warehouse,7,COSCO,Rail,309,294,190,53,288,61,75.60588848504068,1.8223664667108326,29,55,8,136.34676410152767,0,0,1,1,0,0,1
91,Wuxi Railway Station,Singapore Railway Station,67,DHL,Rail,344,316,166,111,292,145,111.10406439734217,1.071365023991139,62,24,4,31.556709724046232,0,0,1,0,0,0,0
92,Wuxi Airport,Shanghai Railway Station,67,Evergreen,Air,310,351,453,87,255,54,194.06921954293057,1.6871675188727357,53,27,1,235.4332846195131,0,1,1,0,1,1,1
93,Shanghai Railway Station,Singapore Port,7,Railway Authority,Truck,205,405,141,112,205,66,153.2942024731812,7.369056504350138,68,64,3,48.68620111297767,0,0,0,0,1,0,0
94,Malaysia Airport,Malaysia Airport,7,KTM,Sea,208,454,399,82,220,55,151.55122227724098,2.8329658096476957,48,27,7,133.78370055705057,0,0,0,0,0,0,1
95,Wuxi Airport,Singapore Warehouse,67,Evergreen,Truck,268,246,122,100,239,65,126.63767505808515,8.353897904354532,35,38,2,50.708254177866074,1,0,0,0,0,0,1
96,Shanghai Railway Station,Shanghai Port,67,KTM,Rail,430,235,100,127,209,132,117.42411084750081,7.592895017668684,70,47,9,196.01089527183092,1,1,1,1,0,1,1
97,Malaysia Port,Wuxi Airport,7,COSCO,Sea,178,318,349,153,220,111,189.56511604851653,9.065290898842512,63,24,4,179.48119004847368,1,1,0,0,1,1,1
98,Malaysia Airport,Shanghai Railway Station,7,DHL,Sea,130,463,218,190,215,65,161.3292354809766,7.745801265308632,26,27,3,238.46067933306625,1,1,0,1,1,0,0
99,Wuxi Airport,Malaysia Warehouse,7,KTM,Sea,433,172,326,189,223,115,190.98141428105205,4.3840522002460975,54,38,1,171.79723534389478,0,0,1,1,1,0,0
100,Malaysia Railway Station,Shanghai Railway Station,34,Railway Authority,Air,328,460,106,124,287,61,50.157880871933706,2.9946651231258334,61,44,6,88.1939415554343,0,1,1,1,0,1,0
101,Wuxi Warehouse,Wuxi Railway Station,67,Railway Authority,Rail,71,399,308,145,217,66,104.67052794857852,5.592053082562689,35,64,2,210.65473946120275,1,1,1,0,1,1,1
102,Shanghai Airport,Wuxi Port,34,DHL,Air,423,430,271,80,273,132,96.33755935876212,6.8650963127725495,44,37,7,85.09885195450249,0,1,0,1,0,1,0
103,Malaysia Warehouse,Malaysia Port,67,COSCO,Rail,199,142,240,123,220,53,91.94393574481651,6.257047569627417,41,61,7,28.75999990730933,0,0,1,1,0,0,0
104,Malaysia Airport,Singapore Railway Station,67,KTM,Sea,213,172,385,190,101,96,91.1486455607583,5.474665970655029,63,24,8,213.73618468966518,0,1,1,0,1,1,0
105,Singapore Airport,Malaysia Warehouse,67,Railway Authority,Sea,347,317,257,105,220,134,142.93781786678352,1.2037636653336237,31,34,5,27.592899368712263,0,1,1,1,0,0,0
106,Malaysia Warehouse,Malaysia Railway Station,67,Railway Authority,Truck,97,394,314,72,270,78,165.07755921160967,5.377474502905274,36,68,8,97.39848957655111,1,1,0,1,0,0,0
107,Wuxi Port,Shanghai Warehouse,34,KTM,Truck,399,181,311,135,138,66,108.7826746896441,1.3580854939741493,45,66,2,134.0456898563002,0,1,0,0,0,1,0
108,Malaysia Airport,Wuxi Airport,7,KTM,Rail,387,109,474,69,178,56,149.65788035493108,9.25381180465041,47,48,4,80.10091918557802,0,1,0,1,1,1,1
109,Malaysia Port,Wuxi Port,67,COSCO,Air,124,376,470,139,185,112,168.8139337084276,9.714014746356467,48,48,6,88.02967294929553,0,0,1,1,1,1,1
110,Wuxi Port,Shanghai Port,7,KTM,Air,212,299,108,73,209,120,125.06844894110286,8.736269487351493,64,51,4,49.20515715231834,1,1,1,1,0,0,0
111,Shanghai Airport,Wuxi Port,34,KTM,Rail,74,186,180,126,212,122,51.67938410814345,5.539071466392629,69,47,4,221.52897980505372,1,1,1,0,1,0,0
112,Shanghai Airport,Wuxi Port,34,DHL,Air,296,192,438,186,283,128,186.847637347051,4.64457238657771,30,59,3,101.15140211097129,1,0,0,1,0,1,0
113,Shanghai Railway Station,Shanghai Port,67,DHL,Rail,407,494,114,153,183,62,78.99651616481461,5.8062682315697645,49,40,7,111.10607665530918,0,1,1,0,0,1,0
114,Wuxi Port,Malaysia Airport,34,Railway Authority,Rail,273,262,308,158,162,92,68.72425114152567,4.267050258708739,44,48,3,225.00878623374265,1,0,1,1,1,0,1
115,Malaysia Port,Singapore Port,67,KTM,Truck,74,402,218,151,216,137,124.19670957455837,6.292396180870185,41,42,1,154.03140977460623,1,0,1,0,1,1,0
116,Singapore Warehouse,Malaysia Railway Station,34,Evergreen,Truck,473,113,263,106,277,62,133.33310236140562,9.739945522266785,32,25,3,238.07627212402417,0,1,0,1,1,1,1
117,Wuxi Railway Station,Malaysia Port,67,COSCO,Truck,93,146,106,127,118,56,165.5390186170211,1.7904835299966089,57,43,8,175.76065673389283,1,1,1,0,0,0,0
118,Wuxi Airport,Malaysia Warehouse,34,KTM,Sea,435,186,461,160,233,96,153.74311279804982,1.6923322478855989,40,26,7,227.2394613325438,1,1,1,1,1,1,0
119,Wuxi Railway Station,Malaysia Railway Station,7,DHL,Rail,424,255,323,199,121,103,69.87643096645432,9.428565443243619,25,32,0,149.11363831661112,1,1,1,0,0,0,1
120,Wuxi Railway Station,Malaysia Warehouse,67,Railway Authority,Sea,138,258,258,72,244,90,128.28992977485348,7.437737058671034,56,49,9,32.623594865400555,0,0,1,1,1,0,0
121,Singapore Airport,Singapore Railway Station,67,Railway Authority,Rail,498,385,373,154,265,108,120.62760387424046,1.6862337998242025,32,47,9,146.53616062544114,0,0,0,1,0,1,1
122,Shanghai Airport,Malaysia Port,67,DHL,Sea,471,205,285,80,166,74,77.28977372784146,3.3413337141731976,67,55,3,238.30373051929706,1,1,0,0,1,0,1
123,Singapore Airport,Malaysia Warehouse,34,DHL,Sea,320,237,496,158,233,147,108.22459088306375,7.888859589537308,47,69,8,116.68809205347229,1,0,1,0,0,1,0
124,Singapore Airport,Malaysia Airport,67,Evergreen,Rail,151,483,237,60,279,142,182.48521409947907,7.6005413651778735,38,61,4,47.37621524347517,1,0,0,1,1,0,1
125,Shanghai Warehouse,Shanghai Airport,7,DHL,Truck,226,338,406,159,267,79,182.28307988377793,3.33476052342523,30,62,0,144.07582682203872,1,1,1,0,1,0,1
126,Singapore Railway Station,Singapore Port,7,KTM,Sea,137,411,164,145,154,54,186.7754137961576,5.061257916725262,27,71,4,30.753228478855927,0,0,1,0,1,0,0
127,Wuxi Railway Station,Singapore Airport,34,DHL,Air,356,186,425,146,226,79,77.36656107670436,9.24788149231397,30,43,3,105.27192127363999,0,0,0,0,1,1,1
128,Shanghai Railway Station,Wuxi Port,34,KTM,Sea,468,243,264,159,238,84,111.01107931491316,2.931099710941364,41,27,4,218.60109758353272,1,0,0,1,1,1,1
129,Malaysia Airport,Shanghai Airport,67,COSCO,Air,417,233,255,170,138,140,162.69354706485254,5.3615661669540415,55,37,2,197.23546646231293,1,1,1,0,0,0,0
130,Wuxi Railway Station,Singapore Port,7,COSCO,Truck,481,469,439,171,158,91,131.0191834948823,2.4830994889986977,47,70,2,139.58106389988345,1,1,1,1,0,1,0
131,Shanghai Warehouse,Malaysia Warehouse,67,KTM,Truck,291,139,345,153,213,69,73.96302632669169,2.522589581798851,64,35,3,112.91274287762987,0,0,1,1,1,0,0
132,Shanghai Airport,Singapore Airport,7,Railway Authority,Air,303,377,110,199,284,106,179.59379608700516,9.356191224379655,38,49,5,208.9705534004492,1,1,0,1,0,1,0
133,Wuxi Warehouse,Malaysia Port,67,DHL,Air,380,308,365,132,112,121,163.26075753771062,7.989762898968689,46,71,5,127.8238184251501,0,1,1,1,1,1,0
134,Singapore Airport,Singapore Port,34,COSCO,Air,211,269,242,180,288,69,143.8624133908388,9.631397541834444,48,70,7,128.4982253801927,1,1,1,1,1,0,1
135,Shanghai Port,Singapore Warehouse,34,COSCO,Truck,365,235,363,150,292,146,156.6321570411091,4.750963686195803,64,51,1,131.7304245249374,1,0,1,0,0,0,0
136,Shanghai Railway Station,Wuxi Railway Station,7,COSCO,Sea,352,383,302,121,232,57,177.795322202723,5.421009381582171,63,36,6,90.811307203253,0,0,0,1,1,0,0
137,Shanghai Warehouse,Malaysia Warehouse,7,COSCO,Sea,84,210,308,163,158,57,93.88742820779746,3.5198371434132643,33,40,0,65.8349977998185,1,0,1,0,0,0,1
138,Singapore Port,Malaysia Railway Station,34,KTM,Air,408,300,357,58,290,97,83.80060593175075,1.8559148066392364,29,61,4,227.50818497765175,1,1,0,1,0,1,0
139,Wuxi Warehouse,Malaysia Warehouse,67,Railway Authority,Rail,431,284,299,93,215,130,107.64401067731373,5.767481987270934,24,42,4,123.16383048206077,1,1,1,0,0,0,1
140,Singapore Railway Station,Wuxi Warehouse,67,Railway Authority,Rail,452,393,209,148,210,106,175.42334295111863,7.27680528056894,51,54,0,211.0422887148333,0,1,0,1,0,0,0
141,Singapore Port,Wuxi Airport,7,Evergreen,Air,418,450,244,101,299,62,73.37583728684785,2.2096750927012687,67,46,8,28.69552768286238,1,0,1,0,0,1,0
142,Malaysia Railway Station,Wuxi Port,7,KTM,Sea,136,302,257,176,147,134,99.32022703367902,5.1880559940493525,63,48,1,70.939545704103,0,1,0,0,0,0,1
143,Wuxi Railway Station,Wuxi Railway Station,67,DHL,Air,161,110,409,131,149,120,166.57963243500296,4.224602437237019,42,54,2,162.45242900622424,0,1,1,0,1,0,1
144,Shanghai Railway Station,Malaysia Railway Station,7,Railway Authority,Truck,341,201,326,50,272,93,104.60175873028189,1.9308394522608299,33,31,9,36.67362040786119,0,0,1,0,1,0,0
145,Shanghai Warehouse,Wuxi Warehouse,7,KTM,Air,207,153,176,160,299,141,199.73267588090593,3.1742452817402684,67,64,5,195.09619441136638,1,0,1,1,1,1,0
146,Wuxi Port,Malaysia Railway Station,34,KTM,Air,294,368,245,66,221,73,191.59895763847157,2.3225410796940054,38,54,2,147.65575344849245,0,1,0,0,0,0,1
147,Malaysia Warehouse,Singapore Railway Station,34,KTM,Air,246,372,268,77,148,80,161.62098784579223,1.3505695945833893,34,33,8,239.26835215488364,1,0,0,1,0,1,0
148,Shanghai Warehouse,Malaysia Warehouse,67,Railway Authority,Rail,404,387,394,182,101,133,180.17969547338419,2.0063502509718023,50,44,8,186.40693606471962,0,0,1,0,1,0,1
149,Wuxi Railway Station,Malaysia Warehouse,67,Evergreen,Rail,148,232,462,144,213,102,192.75611069634874,8.17382364237357,62,58,2,67.10745444077361,1,0,1,1,1,0,1
150,Singapore Railway Station,Malaysia Port,67,Railway Authority,Sea,381,494,492,52,266,83,112.96381695367967,1.438377981773861,44,28,6,58.510451624457644,0,0,1,1,0,0,0
151,Shanghai Airport,Malaysia Port,34,Evergreen,Truck,353,427,105,59,142,85,69.58309083065146,5.089815679855754,59,35,8,183.79973119860298,0,0,1,0,0,1,1
152,Shanghai Airport,Wuxi Airport,34,KTM,Rail,260,341,431,193,119,134,58.71272545167798,6.782178695932771,55,27,2,120.27384515501788,1,1,0,0,0,1,0
153,Shanghai Railway Station,Malaysia Warehouse,67,Railway Authority,Rail,340,329,105,182,226,112,191.40099921606537,2.3528700505707616,29,27,3,65.63174638982197,1,0,1,1,1,1,1
154,Wuxi Airport,Shanghai Railway Station,67,KTM,Rail,254,450,257,182,294,95,86.27873996881421,2.818068433612108,27,36,9,183.2073672424515,1,1,1,1,1,0,1
155,Malaysia Airport,Singapore Port,34,DHL,Air,65,463,441,114,238,95,192.3971734029053,8.837402014807555,54,57,6,39.917803406570414,1,1,1,1,1,0,1
156,Malaysia Airport,Malaysia Railway Station,7,KTM,Truck,134,208,249,186,107,62,188.7177413141713,7.193147524619263,65,29,9,61.66305041478165,1,0,1,1,1,0,0
157,Singapore Port,Malaysia Port,67,Railway Authority,Sea,166,199,322,127,204,72,168.06586292774836,5.19110580149055,53,47,6,34.683451827197345,1,0,0,0,1,0,0
158,Wuxi Warehouse,Wuxi Port,34,Railway Authority,Rail,461,200,492,93,279,98,154.62944340132384,4.679336440151203,32,57,8,228.53158276156043,0,0,0,1,0,1,0
159,Shanghai Warehouse,Wuxi Railway Station,7,Railway Authority,Sea,84,385,250,67,291,53,59.55461926592929,2.9545659755651665,34,59,9,31.337852980844612,1,0,0,0,0,1,0
160,Malaysia Port,Wuxi Airport,67,Evergreen,Sea,423,252,203,70,209,76,81.64985628507515,9.175931073392602,56,43,9,230.8673941710377,0,0,1,1,1,1,0
161,Malaysia Railway Station,Shanghai Warehouse,67,Evergreen,Sea,457,342,350,91,288,90,95.09646635022017,1.8300512297059872,34,67,3,228.00956701737496,1,1,1,1,0,0,0
