Order Number,Ship From,Ship To,Commodity,Order Value,Weight (KG),Volume,Shipper Name,Shipper Address,Shipper Country,Consignee Country,Order Date,Required Delivery Date,Journey Type,Tax Percentage
61,Malaysia Port,Singapore Port,Textiles,21028,881,27,YCH,8 Bulim Ave,Malaysia,Singapore,22-Feb-24,03-Mar-24,Domestic,0.03455215317482237
62,Singapore Railway Station,Wuxi Railway Station,Textiles,29231,213,26,YCH,8 Bulim Ave,Singapore,Malaysia,23-Feb-24,04-Mar-24,Domestic,0.0596449398621177
63,Malaysia Airport,Malaysia Railway Station,Furniture,67493,976,97,YCH,8 Bulim Ave,China,Malaysia,24-Feb-24,05-Mar-24,Domestic,0.06605168623281805
64,Shanghai Port,Shanghai Railway Station,Furniture,40442,4948,4,YCH,8 Bulim Ave,China,Singapore,25-Feb-24,06-Mar-24,Domestic,0.07230964019831475
65,Singapore Railway Station,Singapore Railway Station,Electronics,40997,3723,22,YCH,8 Bulim Ave,China,China,26-Feb-24,07-Mar-24,Domestic,0.14529339384017523
66,Singapore Warehouse,Shanghai Airport,Textiles,79179,1284,2,YCH,8 Bulim Ave,Malaysia,Singapore,27-Feb-24,08-Mar-24,International,0.07266299790516198
67,Malaysia Airport,Singapore Warehouse,Pharmaceuticals,54974,1907,45,YCH,8 Bulim Ave,Malaysia,Malaysia,28-Feb-24,09-Mar-24,International,0.1130738961123741
68,Shanghai Railway Station,Shanghai Railway Station,Textiles,1632,4151,89,YCH,8 Bulim Ave,Singapore,Malaysia,29-Feb-24,10-Mar-24,International,0.1262295303458169
69,Malaysia Warehouse,Wuxi Airport,Pharmaceuticals,29612,1519,76,YCH,8 Bulim Ave,China,Malaysia,01-Mar-24,11-Mar-24,International,0.07038389338963277
70,Wuxi Airport,Shanghai Port,Electronics,29463,753,35,YCH,8 Bulim Ave,China,Singapore,02-Mar-24,12-Mar-24,Domestic,0.12489308175611423
71,Singapore Airport,Singapore Railway Station,Textiles,64290,2393,32,YCH,8 Bulim Ave,Malaysia,Malaysia,03-Mar-24,13-Mar-24,International,0.06151952058106884
72,Malaysia Warehouse,Shanghai Port,Pharmaceuticals,74852,3726,41,YCH,8 Bulim Ave,Singapore,China,04-Mar-24,14-Mar-24,International,0.1498268868793063
73,Malaysia Warehouse,Wuxi Airport,Electronics,95163,2074,32,YCH,8 Bulim Ave,China,Malaysia,05-Mar-24,15-Mar-24,Domestic,0.03039619527472786
74,Malaysia Railway Station,Malaysia Railway Station,Textiles,51164,892,32,YCH,8 Bulim Ave,Singapore,Malaysia,06-Mar-24,16-Mar-24,Domestic,0.14096785634783188
75,Wuxi Warehouse,Shanghai Port,Furniture,36460,1342,26,YCH,8 Bulim Ave,Singapore,Malaysia,07-Mar-24,17-Mar-24,International,0.0861855593987232
76,Singapore Railway Station,Shanghai Railway Station,Textiles,77473,1757,28,YCH,8 Bulim Ave,Singapore,China,08-Mar-24,18-Mar-24,Domestic,0.13604739397692386
77,Singapore Port,Malaysia Railway Station,Pharmaceuticals,28865,4966,55,YCH,8 Bulim Ave,Malaysia,China,09-Mar-24,19-Mar-24,International,0.12605555246684588
78,Singapore Airport,Shanghai Port,Furniture,80816,55,67,YCH,8 Bulim Ave,China,China,10-Mar-24,20-Mar-24,International,0.10639414597584353
79,Wuxi Railway Station,Shanghai Warehouse,Textiles,74946,1172,53,YCH,8 Bulim Ave,Singapore,China,11-Mar-24,21-Mar-24,Domestic,0.0226167077047361
80,Shanghai Port,Wuxi Airport,Textiles,61706,1454,89,YCH,8 Bulim Ave,China,China,12-Mar-24,22-Mar-24,International,0.1344736809278805
81,Malaysia Port,Singapore Airport,Electronics,37811,3499,73,YCH,8 Bulim Ave,Malaysia,China,13-Mar-24,23-Mar-24,Domestic,0.010265878290282875
82,Malaysia Warehouse,Singapore Port,Pharmaceuticals,74680,3281,9,YCH,8 Bulim Ave,China,Malaysia,14-Mar-24,24-Mar-24,International,0.013137466253716932
83,Singapore Warehouse,Wuxi Airport,Textiles,87344,2846,54,YCH,8 Bulim Ave,China,China,15-Mar-24,25-Mar-24,Domestic,0.04013557676309937
84,Wuxi Port,Wuxi Airport,Furniture,18660,1686,34,YCH,8 Bulim Ave,China,China,16-Mar-24,26-Mar-24,Domestic,0.14342837109787884
85,Malaysia Port,Shanghai Warehouse,Pharmaceuticals,5541,4182,14,YCH,8 Bulim Ave,Malaysia,China,17-Mar-24,27-Mar-24,International,0.020671995113462238
86,Singapore Airport,Wuxi Port,Electronics,38693,4914,17,YCH,8 Bulim Ave,Malaysia,Singapore,18-Mar-24,28-Mar-24,International,0.06905501599695352
87,Shanghai Airport,Wuxi Airport,Electronics,82354,2939,48,YCH,8 Bulim Ave,China,China,19-Mar-24,29-Mar-24,Domestic,0.036201110822952846
88,Wuxi Railway Station,Singapore Airport,Pharmaceuticals,15633,3777,41,YCH,8 Bulim Ave,Singapore,Singapore,20-Mar-24,30-Mar-24,Domestic,0.12458862303485652
89,Wuxi Port,Wuxi Warehouse,Electronics,77766,3796,11,YCH,8 Bulim Ave,Malaysia,Singapore,21-Mar-24,31-Mar-24,Domestic,0.10781080719020356
90,Shanghai Warehouse,Shanghai Airport,Pharmaceuticals,67100,759,85,YCH,8 Bulim Ave,China,Singapore,22-Mar-24,01-Apr-24,Domestic,0.030095363012988242
91,Malaysia Airport,Shanghai Warehouse,Electronics,10864,4549,67,YCH,8 Bulim Ave,Malaysia,China,23-Mar-24,02-Apr-24,Domestic,0.12435832601085431
92,Singapore Port,Wuxi Airport,Pharmaceuticals,73000,1733,88,YCH,8 Bulim Ave,Singapore,Singapore,24-Mar-24,03-Apr-24,Domestic,0.09436365529468467
93,Wuxi Warehouse,Shanghai Port,Textiles,7328,1906,80,YCH,8 Bulim Ave,Singapore,Singapore,25-Mar-24,04-Apr-24,International,0.13906807933166385
94,Shanghai Port,Singapore Port,Furniture,9965,3812,18,YCH,8 Bulim Ave,Malaysia,Malaysia,26-Mar-24,05-Apr-24,Domestic,0.09977126796154408
95,Malaysia Port,Singapore Airport,Furniture,80918,2273,84,YCH,8 Bulim Ave,Malaysia,Singapore,27-Mar-24,06-Apr-24,Domestic,0.02666972839036047
96,Singapore Railway Station,Malaysia Airport,Furniture,14550,267,79,YCH,8 Bulim Ave,Malaysia,China,28-Mar-24,07-Apr-24,Domestic,0.11494502859356401
97,Wuxi Warehouse,Wuxi Railway Station,Textiles,93866,297,26,YCH,8 Bulim Ave,Singapore,Singapore,29-Mar-24,08-Apr-24,International,0.05844935896898998
98,Malaysia Railway Station,Shanghai Airport,Textiles,14264,3963,51,YCH,8 Bulim Ave,China,China,30-Mar-24,09-Apr-24,Domestic,0.08797017484997749
99,Wuxi Port,Shanghai Warehouse,Pharmaceuticals,52956,3783,12,YCH,8 Bulim Ave,China,Malaysia,31-Mar-24,10-Apr-24,Domestic,0.04917959062998287
100,Singapore Airport,Malaysia Warehouse,Pharmaceuticals,86391,2106,19,YCH,8 Bulim Ave,Malaysia,Singapore,01-Apr-24,11-Apr-24,International,0.028918554500867194
101,Singapore Port,Wuxi Airport,Furniture,56054,1749,67,YCH,8 Bulim Ave,Singapore,China,02-Apr-24,12-Apr-24,Domestic,0.1386726895979842
102,Malaysia Port,Wuxi Port,Furniture,96681,3811,82,YCH,8 Bulim Ave,Singapore,Singapore,03-Apr-24,13-Apr-24,International,0.02502039859966236
103,Shanghai Warehouse,Singapore Railway Station,Pharmaceuticals,18659,815,10,YCH,8 Bulim Ave,Singapore,Malaysia,04-Apr-24,14-Apr-24,International,0.12056420405461428
104,Singapore Port,Shanghai Airport,Furniture,11857,2766,47,YCH,8 Bulim Ave,China,Singapore,05-Apr-24,15-Apr-24,International,0.09171132123635146
105,Shanghai Port,Malaysia Warehouse,Electronics,17199,2298,79,YCH,8 Bulim Ave,Malaysia,Malaysia,06-Apr-24,16-Apr-24,Domestic,0.029072364760834718
106,Singapore Airport,Malaysia Warehouse,Furniture,98337,3140,79,YCH,8 Bulim Ave,Singapore,Singapore,07-Apr-24,17-Apr-24,International,0.14493923660928035
107,Wuxi Railway Station,Shanghai Warehouse,Pharmaceuticals,13554,1445,77,YCH,8 Bulim Ave,Singapore,China,08-Apr-24,18-Apr-24,Domestic,0.0900064392279245
108,Singapore Railway Station,Wuxi Railway Station,Furniture,39344,2411,99,YCH,8 Bulim Ave,China,China,09-Apr-24,19-Apr-24,International,0.13631595475015443
109,Malaysia Airport,Wuxi Airport,Textiles,46077,4507,14,YCH,8 Bulim Ave,Malaysia,Singapore,10-Apr-24,20-Apr-24,International,0.03438412041384218
110,Singapore Warehouse,Malaysia Warehouse,Textiles,15274,2767,96,YCH,8 Bulim Ave,China,Singapore,11-Apr-24,21-Apr-24,Domestic,0.13968620825696426
111,Wuxi Port,Shanghai Warehouse,Furniture,7879,520,72,YCH,8 Bulim Ave,Malaysia,Singapore,12-Apr-24,22-Apr-24,International,0.04847189198305241
112,Wuxi Railway Station,Malaysia Port,Furniture,68212,317,58,YCH,8 Bulim Ave,China,Malaysia,13-Apr-24,23-Apr-24,International,0.12918145731913766
113,Singapore Airport,Malaysia Warehouse,Furniture,55438,1074,9,YCH,8 Bulim Ave,Malaysia,Singapore,14-Apr-24,24-Apr-24,Domestic,0.11440864974101565
114,Singapore Port,Wuxi Railway Station,Pharmaceuticals,41370,3691,14,YCH,8 Bulim Ave,Malaysia,Malaysia,15-Apr-24,25-Apr-24,Domestic,0.03869898798610713
115,Wuxi Warehouse,Wuxi Port,Electronics,26879,2338,6,YCH,8 Bulim Ave,Singapore,China,16-Apr-24,26-Apr-24,Domestic,0.13365528925398953
116,Wuxi Railway Station,Malaysia Warehouse,Furniture,76914,1863,28,YCH,8 Bulim Ave,Singapore,Malaysia,17-Apr-24,27-Apr-24,International,0.10969979713741791
117,Wuxi Port,Shanghai Airport,Electronics,90980,2936,13,YCH,8 Bulim Ave,Singapore,China,18-Apr-24,28-Apr-24,International,0.028558048924755317
118,Singapore Port,Shanghai Railway Station,Pharmaceuticals,35490,3504,3,YCH,8 Bulim Ave,Malaysia,Malaysia,19-Apr-24,29-Apr-24,Domestic,0.024042887684897256
119,Singapore Port,Wuxi Port,Furniture,19178,4939,94,YCH,8 Bulim Ave,China,Singapore,20-Apr-24,30-Apr-24,International,0.10624436519018181
120,Malaysia Airport,Shanghai Airport,Furniture,41018,1045,9,YCH,8 Bulim Ave,Singapore,Singapore,21-Apr-24,01-May-24,International,0.06281726531648305
121,Shanghai Railway Station,Wuxi Airport,Textiles,19211,562,17,YCH,8 Bulim Ave,China,Malaysia,22-Apr-24,02-May-24,International,0.1423879552469089
122,Malaysia Airport,Malaysia Railway Station,Furniture,26701,456,86,YCH,8 Bulim Ave,China,China,23-Apr-24,03-May-24,Domestic,0.06289119507870235
123,Singapore Warehouse,Shanghai Railway Station,Furniture,65502,2488,11,YCH,8 Bulim Ave,Singapore,China,24-Apr-24,04-May-24,Domestic,0.0515254281625446
124,Malaysia Railway Station,Singapore Airport,Textiles,35929,306,27,YCH,8 Bulim Ave,Malaysia,Singapore,25-Apr-24,05-May-24,International,0.05976539382437015
125,Singapore Warehouse,Shanghai Railway Station,Textiles,40587,1653,14,YCH,8 Bulim Ave,Malaysia,Singapore,26-Apr-24,06-May-24,International,0.1327020026039148
126,Wuxi Railway Station,Malaysia Railway Station,Textiles,65755,3372,45,YCH,8 Bulim Ave,Malaysia,Malaysia,27-Apr-24,07-May-24,Domestic,0.14499720142656985
127,Singapore Warehouse,Singapore Railway Station,Electronics,6082,256,78,YCH,8 Bulim Ave,China,China,28-Apr-24,08-May-24,Domestic,0.11711747979718261
128,Shanghai Port,Shanghai Warehouse,Furniture,45820,3954,20,YCH,8 Bulim Ave,Malaysia,China,29-Apr-24,09-May-24,Domestic,0.03243193707940156
129,Wuxi Railway Station,Shanghai Port,Textiles,16450,2208,53,YCH,8 Bulim Ave,China,Singapore,30-Apr-24,10-May-24,International,0.10109208614451834
130,Wuxi Warehouse,Singapore Port,Furniture,84598,1584,28,YCH,8 Bulim Ave,Singapore,China,01-May-24,11-May-24,Domestic,0.06956225803716189
131,Singapore Railway Station,Wuxi Airport,Pharmaceuticals,70001,2371,27,YCH,8 Bulim Ave,Singapore,China,02-May-24,12-May-24,International,0.027408528295585072
132,Shanghai Railway Station,Wuxi Railway Station,Electronics,73930,3610,72,YCH,8 Bulim Ave,Singapore,Malaysia,03-May-24,13-May-24,Domestic,0.07944756271040064
133,Malaysia Airport,Malaysia Airport,Electronics,85294,2065,2,YCH,8 Bulim Ave,Malaysia,Singapore,04-May-24,14-May-24,Domestic,0.11900409001203917
134,Wuxi Railway Station,Singapore Warehouse,Textiles,85411,1547,67,YCH,8 Bulim Ave,Malaysia,China,05-May-24,15-May-24,Domestic,0.014624174760450477
135,Wuxi Port,Singapore Warehouse,Electronics,3625,2789,40,YCH,8 Bulim Ave,China,China,06-May-24,16-May-24,Domestic,0.042435646508186965
136,Singapore Port,Wuxi Railway Station,Pharmaceuticals,51951,3185,96,YCH,8 Bulim Ave,Singapore,China,07-May-24,17-May-24,International,0.09501187671295655
137,Wuxi Port,Malaysia Airport,Pharmaceuticals,9282,158,59,YCH,8 Bulim Ave,China,China,08-May-24,18-May-24,International,0.05776702172888322
138,Wuxi Railway Station,Malaysia Railway Station,Textiles,34235,1329,37,YCH,8 Bulim Ave,China,Malaysia,09-May-24,19-May-24,International,0.13607479199098582
139,Shanghai Port,Malaysia Railway Station,Textiles,75930,2220,96,YCH,8 Bulim Ave,Singapore,Singapore,10-May-24,20-May-24,International,0.105446856342669
140,Shanghai Railway Station,Singapore Airport,Textiles,71905,3781,23,YCH,8 Bulim Ave,Malaysia,China,11-May-24,21-May-24,International,0.12331953508357457
141,Shanghai Port,Shanghai Warehouse,Electronics,44103,182,82,YCH,8 Bulim Ave,China,China,12-May-24,22-May-24,International,0.12333314324182218
142,Singapore Warehouse,Wuxi Railway Station,Textiles,58760,4124,65,YCH,8 Bulim Ave,Singapore,China,13-May-24,23-May-24,Domestic,0.12487920593873637
143,Singapore Airport,Wuxi Warehouse,Furniture,17170,1166,6,YCH,8 Bulim Ave,Singapore,China,14-May-24,24-May-24,International,0.01947964180779975
144,Shanghai Warehouse,Wuxi Airport,Furniture,23683,3817,51,YCH,8 Bulim Ave,China,Singapore,15-May-24,25-May-24,International,0.04378536409907623
145,Malaysia Port,Shanghai Airport,Textiles,86540,3821,81,YCH,8 Bulim Ave,Malaysia,China,16-May-24,26-May-24,International,0.11807233670728179
146,Wuxi Warehouse,Singapore Railway Station,Textiles,95764,3692,80,YCH,8 Bulim Ave,Malaysia,Singapore,17-May-24,27-May-24,International,0.1092846574742023
147,Wuxi Railway Station,Shanghai Railway Station,Furniture,89226,1844,79,YCH,8 Bulim Ave,Singapore,Singapore,18-May-24,28-May-24,International,0.08190180139321486
148,Wuxi Warehouse,Wuxi Port,Electronics,97790,1262,18,YCH,8 Bulim Ave,Malaysia,Malaysia,19-May-24,29-May-24,Domestic,0.02615213287253452
149,Wuxi Railway Station,Shanghai Railway Station,Electronics,70350,3890,16,YCH,8 Bulim Ave,Singapore,Singapore,20-May-24,30-May-24,Domestic,0.033063293812161415
150,Malaysia Port,Malaysia Port,Electronics,60625,380,50,YCH,8 Bulim Ave,Singapore,Singapore,21-May-24,31-May-24,Domestic,0.10354173881235863
151,Malaysia Railway Station,Shanghai Airport,Textiles,73058,3922,26,YCH,8 Bulim Ave,China,Malaysia,22-May-24,01-Jun-24,Domestic,0.07862067564538112
152,Malaysia Port,Malaysia Airport,Furniture,1002,3475,33,YCH,8 Bulim Ave,China,Malaysia,23-May-24,02-Jun-24,Domestic,0.043105853194133646
153,Singapore Airport,Malaysia Port,Furniture,85501,201,99,YCH,8 Bulim Ave,Singapore,China,24-May-24,03-Jun-24,Domestic,0.06165009691132836
154,Shanghai Warehouse,Malaysia Airport,Pharmaceuticals,21031,3119,86,YCH,8 Bulim Ave,China,China,25-May-24,04-Jun-24,Domestic,0.11605254887191664
155,Malaysia Railway Station,Wuxi Warehouse,Furniture,71099,438,33,YCH,8 Bulim Ave,China,Singapore,26-May-24,05-Jun-24,International,0.10619018020927551
156,Wuxi Warehouse,Shanghai Airport,Furniture,87221,295,95,YCH,8 Bulim Ave,Singapore,Singapore,27-May-24,06-Jun-24,International,0.04881450443235013
157,Wuxi Warehouse,Malaysia Port,Electronics,31443,2089,77,YCH,8 Bulim Ave,Singapore,Singapore,28-May-24,07-Jun-24,International,0.11844748401624633
158,Wuxi Warehouse,Wuxi Railway Station,Furniture,26866,1416,57,YCH,8 Bulim Ave,Malaysia,Singapore,29-May-24,08-Jun-24,Domestic,0.14462645001187718
159,Singapore Airport,Shanghai Warehouse,Furniture,43843,646,33,YCH,8 Bulim Ave,Malaysia,Malaysia,30-May-24,09-Jun-24,International,0.12245408051734984
160,Wuxi Railway Station,Wuxi Warehouse,Pharmaceuticals,78102,3105,32,YCH,8 Bulim Ave,Malaysia,Singapore,31-May-24,10-Jun-24,International,0.13211933154293237
161,Shanghai Port,Malaysia Port,Electronics,24936,3689,67,YCH,8 Bulim Ave,Singapore,China,01-Jun-24,11-Jun-24,International,0.1059707383714048
162,Wuxi Railway Station,Shanghai Railway Station,Furniture,2780,1410,42,YCH,8 Bulim Ave,Malaysia,China,02-Jun-24,12-Jun-24,Domestic,0.07118745114993472
